#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
236,Heroes - 2017 Remaster,David Bowie,79,"art rock, classic rock, glam rock, permanent wave, rock",Rock,Heroes (2017 Remaster),1977,6:11,49,76,0,48,44,3,9,-6,112,G Major,9B,4,2022-02-11,7Jh1bpe76CNTCgdgAdBw4Z
237,Till Forever Falls Apart,"Ashe,FINNEAS",74,"alt z, electropop, pop, la indie",Pop,Till Forever Falls Apart,2021-03-02,3:42,51,50,41,0,28,3,7,-7,100,D Major,10B,4,2022-02-11,2769RhOZs0ezRncRW1vryp
238,She Lays Down,The 1975,52,"modern alternative rock, modern rock, pop, rock","Rock, Pop","I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26,3:58,45,12,78,0,49,4,9,-22,111,G Major,9B,5,2022-02-11,7Esd9ROfkgPgBtWN72U5P5
239,Overdrive,Conan Gray,75,"bedroom pop, indie pop, pop","Pop, Rock",Overdrive,2021-02-19,3:03,57,79,1,0,46,4,14,-6,105,F Major,7B,4,2022-02-11,3QyoC6OvQUmpQwQZ18iaTs
240,The Kids Don't Wanna Come Home,Declan McKenna,48,"indie pop, modern alternative rock, modern rock, rock",Rock,What Do You Think About the Car?,2017-07-21,5:16,56,58,7,0,35,5,14,-7,122,G Major,9B,4,2022-02-11,4SNbjUefA4j0IO7UsEfpKq
241,Karpe Diem,Ed Maverick,58,"chihuahua indie, indie triste, mexican indie",Latin,mix pa llorar en tu cuarto,2018-03-02,3:23,75,32,71,0,47,3,15,-13,95,F Major,7B,4,2022-02-11,2Jpw6uRsDncpCYkvdrfTTk
242,Boys Don't Cry,The Cure,55,"new wave, permanent wave, rock, uk post-punk",Rock,Staring At The Sea - The Singles,1986-01-01,2:34,46,60,2,0,74,6,18,-14,170,B Minor,10A,4,2022-02-11,1YQCRXscu8xE74BVVMUCRr
243,Five More Minutes,Jonas Brothers,62,"boy band, dance pop, pop, post-teen pop",Pop,XV,2020-05-15,2:30,84,30,31,0,69,7,10,-8,94,E Major,12B,4,2022-02-11,0WxSQtLMCLcsAOhliamv5W
244,Do I Wanna Know?,Arctic Monkeys,87,"garage rock, permanent wave, rock, sheffield indie","Blues, Rock",AM,2013-09-09,4:32,55,53,19,0,41,3,22,-8,85,F Major,7B,4,2022-02-11,5FVd6KXrgO9B3JPmC8OPst
245,Stargazing,The Neighbourhood,79,"modern alternative rock, modern rock, pop","Rock, Pop",Chip Chrome & The Mono-Tones (Deluxe),2020-12-11,3:37,51,48,0,0,37,3,12,-8,160,C Major,8B,4,2022-02-11,0VF7YLIxSQKyNiFL3X6MmN
